date, ssid, download, upload, ping
2020-05-12 21:32:03.936003, rx600m-8c430c-1, 0.946, 9.970, 34.512
2020-05-12 21:33:32.698762, rx600m-8c430c-1, 0.041, 0.000, 27.908
2020-05-12 21:35:12.170733, rx600m-8c430c-1, 0.637, 50.750, 30.034
2020-05-12 21:36:44.708765, rx600m-8c430c-1, 0.382, 15.616, 32.247
2020-05-12 21:38:21.692968, rx600m-8c430c-1, 0.338, 10.666, 82.929
2020-05-12 21:40:01.657214, rx600m-8c430c-1, 0.786, 38.066, 33.541
2020-05-12 21:41:31.213199, rx600m-8c430c-1, 0.449, 11.988, 35.487
2020-05-12 21:43:07.897756, rx600m-8c430c-1, 0.903, 64.830, 76.131
2020-05-12 21:44:48.559815, rx600m-8c430c-1, 0.303, 12.641, 30.998
2020-05-12 21:46:20.830343, rx600m-8c430c-1, 0.000, 1.349, 46.3
2020-05-12 21:51:20.336167, rx600m-8c430c-1, 0.193, 6.436, 69.741
2020-05-12 21:53:05.613759, rx600m-8c430c-1, 0.342, 14.281, 37.543
2020-05-12 21:54:40.691153, rx600m-8c430c-1, 0.621, 7.546, 30.861
2020-05-12 21:56:09.074163, rx600m-8c430c-1, 0.679, 35.021, 33.703
2020-05-12 21:57:44.222291, rx600m-8c430c-1, 0.468, 21.699, 46.703
2020-05-12 21:59:32.966869, rx600m-8c430c-1, 0.508, 16.372, 36.609
2020-05-12 22:01:04.455761, rx600m-8c430c-1, 0.291, 2.842, 32.383
2020-05-12 22:03:44.589185, rx600m-8c430c-1, 0.673, 36.907, 81.888
2020-05-12 22:14:17.408557, rx600m-8c430c-1, 0.303, 14.994, 39.397
2020-05-12 22:24:55.276564, rx600m-8c430c-1, 0.713, 15.936, 40.485
2020-05-12 22:41:15.491059, rx600m-8c430c-1, 1.014, 13.712, 34.089
2020-05-12 22:51:46.730877, rx600m-8c430c-1, 1.268, 39.697, 37.09
2020-05-12 23:02:23.610214, rx600m-8c430c-1, 1.361, 35.969, 31.137
2020-05-12 23:13:01.107576, rx600m-8c430c-1, 1.397, 31.203, 30.499
2020-05-12 23:23:35.390767, rx600m-8c430c-1, 1.702, 38.630, 37.315
2020-05-12 23:34:12.621864, rx600m-8c430c-1, 1.332, 37.256, 32.853
2020-05-12 23:44:46.461150, rx600m-8c430c-1, 1.896, 35.500, 33.35
2020-05-12 23:55:18.227291, rx600m-8c430c-1, 0.780, 25.505, 32.976
2020-05-13 00:06:03.686846, rx600m-8c430c-1, 2.290, 36.971, 30.028
2020-05-13 00:16:43.799554, rx600m-8c430c-1, 2.859, 37.519, 37.661
2020-05-13 00:27:12.614750, rx600m-8c430c-1, 2.659, 40.225, 42.981
2020-05-13 00:37:53.393646, rx600m-8c430c-1, 0.794, 32.907, 47.241
2020-05-13 00:48:40.303166, rx600m-8c430c-1, 8.097, 27.016, 33.246
2020-05-13 00:59:22.142342, rx600m-8c430c-1, 18.711, 34.466, 50.568
2020-05-13 01:09:57.214625, rx600m-8c430c-1, 6.804, 41.102, 30.093
2020-05-13 01:20:38.376221, rx600m-8c430c-1, 17.571, 41.863, 33.812
2020-05-13 01:31:10.652481, rx600m-8c430c-1, 6.468, 20.946, 34.143
2020-05-13 01:41:44.119518, rx600m-8c430c-1, 40.058, 38.644, 33.197
2020-05-13 01:52:20.737617, rx600m-8c430c-1, 37.341, 42.872, 42.263
2020-05-13 02:02:53.518354, rx600m-8c430c-1, 15.985, 39.508, 26.582
2020-05-13 02:13:28.661409, rx600m-8c430c-1, 36.158, 37.125, 32.057
2020-05-13 02:23:56.792313, rx600m-8c430c-1, 36.924, 43.316, 42.634
2020-05-13 02:34:30.337162, rx600m-8c430c-1, 23.870, 40.616, 30.993
2020-05-13 02:45:04.961189, rx600m-8c430c-1, 35.730, 37.324, 28.53
2020-05-13 02:55:38.773187, rx600m-8c430c-1, 17.826, 35.760, 37.584
2020-05-13 03:06:09.751615, rx600m-8c430c-1, 5.778, 20.477, 268.245
2020-05-13 03:16:45.086017, rx600m-8c430c-1, 39.163, 45.481, 34.316
2020-05-13 03:27:15.244092, rx600m-8c430c-1, 5.946, 8.951, 257.471
2020-05-13 03:37:49.162615, rx600m-8c430c-1, 40.818, 47.150, 29.255
2020-05-13 03:48:17.155628, rx600m-8c430c-1, 10.666, 11.952, 221.143
2020-05-13 03:58:50.691203, rx600m-8c430c-1, 33.505, 42.798, 33.826
2020-05-13 04:09:21.769856, rx600m-8c430c-1, 40.482, 47.321, 30.269
2020-05-13 04:19:54.451469, rx600m-8c430c-1, 17.738, 8.995, 33.987
2020-05-13 04:30:31.478120, rx600m-8c430c-1, 38.434, 39.358, 39.273
2020-05-13 04:41:05.835268, rx600m-8c430c-1, 37.281, 40.124, 27.363
2020-05-13 04:51:41.111965, rx600m-8c430c-1, 41.339, 45.007, 31.58
2020-05-13 05:02:11.654285, rx600m-8c430c-1, 42.605, 42.751, 27.567
2020-05-13 05:12:44.474339, rx600m-8c430c-1, 43.456, 48.955, 31.293
2020-05-13 05:23:16.740789, rx600m-8c430c-1, 17.561, 42.064, 33.84
2020-05-13 05:33:50.071541, rx600m-8c430c-1, 41.716, 41.441, 30.941
2020-05-13 05:44:20.540032, rx600m-8c430c-1, 43.484, 38.795, 41.651
2020-05-13 05:54:55.729588, rx600m-8c430c-1, 28.900, 21.526, 31.328
2020-05-13 06:05:32.952356, rx600m-8c430c-1, 38.237, 44.574, 33.176
2020-05-13 06:16:04.723073, rx600m-8c430c-1, 39.036, 42.847, 31.41
2020-05-13 06:26:33.880604, rx600m-8c430c-1, 37.476, 44.005, 36.155
